Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
uncultured,3,3,2,2,0.06,0.04,0.6021,0.6021
uncurl,4,2,3,2,0.08,0.02,0.6990,0.4771
uncut,40,30,37,28,0.78,0.36,1.6128,1.4914
undamaged,18,18,15,15,0.35,0.21,1.2788,1.2788
undatable,2,1,1,1,0.04,0.01,0.4771,0.3010
undaunted,14,12,12,10,0.27,0.14,1.1761,1.1139
undead,119,72,104,66,2.33,0.86,2.0792,1.8633
undecided,18,16,14,13,0.35,0.19,1.2788,1.2304
undeclared,13,12,8,8,0.25,0.14,1.1461,1.1139
undefeated,111,75,100,70,2.18,0.89,2.0492,1.8808
undefended,11,10,11,10,0.22,0.12,1.0792,1.0414
undefiled,2,2,2,2,0.04,0.02,0.4771,0.4771
undefinable,3,3,3,3,0.06,0.04,0.6021,0.6021
undefined,10,10,10,10,0.20,0.12,1.0414,1.0414
undemanding,6,5,6,5,0.12,0.06,0.8451,0.7782
undemocratic,3,3,3,3,0.06,0.04,0.6021,0.6021
undeniable,49,37,45,35,0.96,0.44,1.6990,1.5798
undeniably,13,13,10,10,0.25,0.15,1.1461,1.1461
undependable,7,5,4,4,0.14,0.06,0.9031,0.7782
under,13358,5576,12475,5447,261.92,66.48,4.1258,3.7464
underachievement,3,3,3,3,0.06,0.04,0.6021,0.6021
underachiever,16,12,16,12,0.31,0.14,1.2304,1.1139
underachievers,5,5,5,5,0.10,0.06,0.7782,0.7782
underachieving,2,2,2,2,0.04,0.02,0.4771,0.4771
underage,111,94,104,89,2.18,1.12,2.0492,1.9777
underappreciated,4,4,4,4,0.08,0.05,0.6990,0.6990
underarm,4,4,4,4,0.08,0.05,0.6990,0.6990
underarms,5,5,4,4,0.10,0.06,0.7782,0.7782
underbelly,39,24,33,24,0.76,0.29,1.6021,1.3979
underbidding,2,2,2,2,0.04,0.02,0.4771,0.4771
underbrush,9,8,9,8,0.18,0.10,1.0000,0.9542
undercarriage,20,13,19,12,0.39,0.15,1.3222,1.1461
undercharged,2,2,2,2,0.04,0.02,0.4771,0.4771
underclass,3,3,3,3,0.06,0.04,0.6021,0.6021
underclassmen,3,3,3,3,0.06,0.04,0.6021,0.6021
underclothes,5,5,5,5,0.10,0.06,0.7782,0.7782
undercoating,5,5,3,3,0.10,0.06,0.7782,0.7782
undercook,2,2,2,2,0.04,0.02,0.4771,0.4771
undercooked,9,9,8,8,0.18,0.11,1.0000,1.0000
undercover,598,330,522,312,11.73,3.93,2.7774,2.5198
undercurrent,8,8,8,8,0.16,0.10,0.9542,0.9542
undercurrents,3,3,3,3,0.06,0.04,0.6021,0.6021
undercut,8,8,8,8,0.16,0.10,0.9542,0.9542
undercutting,9,9,9,9,0.18,0.11,1.0000,1.0000
underdeveloped,10,10,10,10,0.20,0.12,1.0414,1.0414
underdog,49,39,48,39,0.96,0.46,1.6990,1.6021
underdogs,11,10,11,10,0.22,0.12,1.0792,1.0414
underdone,5,4,5,4,0.10,0.05,0.7782,0.6990
underdressed,10,9,10,9,0.20,0.11,1.0414,1.0000
underestimate,258,234,258,234,5.06,2.79,2.4133,2.3711
underestimated,128,118,128,118,2.51,1.41,2.1106,2.0755
underestimates,6,6,6,6,0.12,0.07,0.8451,0.8451
underestimating,30,30,29,29,0.59,0.36,1.4914,1.4914
underexposed,3,3,3,3,0.06,0.04,0.6021,0.6021
underfed,4,4,3,3,0.08,0.05,0.6990,0.6990
underfoot,18,18,18,18,0.35,0.21,1.2788,1.2788
underfunded,9,9,9,9,0.18,0.11,1.0000,1.0000
undergarment,7,5,6,4,0.14,0.06,0.9031,0.7782
undergarments,36,30,32,28,0.71,0.36,1.5682,1.4914
undergo,42,40,42,40,0.82,0.48,1.6335,1.6128
undergoes,10,10,10,10,0.20,0.12,1.0414,1.0414
undergoing,35,35,34,34,0.69,0.42,1.5563,1.5563
undergone,33,32,33,32,0.65,0.38,1.5315,1.5185
undergrad,18,18,14,14,0.35,0.21,1.2788,1.2788
undergrads,3,3,3,3,0.06,0.04,0.6021,0.6021
undergraduate,22,22,22,22,0.43,0.26,1.3617,1.3617
undergraduates,6,5,6,5,0.12,0.06,0.8451,0.7782
underground,613,406,531,369,12.02,4.84,2.7882,2.6096
undergrowth,3,3,3,3,0.06,0.04,0.6021,0.6021
underhand,17,12,13,12,0.33,0.14,1.2553,1.1139
underhanded,35,32,34,32,0.69,0.38,1.5563,1.5185
Underhill,13,3,0,0,0.25,0.04,1.1461,0.6021
Underlay,96,20,11,4,1.88,0.24,1.9868,1.3222
underlies,2,2,2,2,0.04,0.02,0.4771,0.4771
