,Word,FREQcount
1538,shark,1146
1539,sharkskin,3
1540,sharky,12
1541,sharon,524
1542,sharp,1475
1543,sharpest,37
1544,sharpy,12
1545,sharply,29
1546,sharpshoot,56
1547,shat,378
1548,shatterproof,7
1549,shav,1318
1550,shavetail,5
1551,shaw,512
1552,shawl,78
1553,shawn,560
1554,shay,52
1555,shazam,14
1556,she,190734
1557,sheaf,2
1558,shear,104
1559,shearw,2
1560,shea,25
1561,sheath,14
1562,sheav,4
1563,shebang,30
1564,shed,606
1565,sheen,48
1566,sheeny,10
1567,sheep,693
1568,sheepdog,31
1569,sheepherd,14
1570,sheepshead,7
1571,sheepskin,14
1572,sheet,1236
1573,sheetrock,16
1574,sheffield,29
1575,sheik,82
1576,sheikh,35
1577,sheil,422
1578,sheila,4
1579,shekel,14
1580,sheldrak,70
1581,shelf,355
1582,shel,1490
1583,shellac,5
1584,shellack,9
1585,shelley,204
1586,shellfir,4
1587,shellf,50
1588,shelt,725
1589,shelv,168
1590,shem,11
1591,shenanig,63
1592,sheng,22
1593,shepherd,419
1594,shepherdess,6
1595,sher,16
1596,sheraton,44
1597,sherbet,29
1598,sheriff,3174
1599,sherlock,269
1600,sherp,15
1601,sherpa,3
1602,sherry,709
1603,shetland,15
1604,shh,2810
1605,shi,67
1606,shiatsu,18
1607,shiel,8
1608,shield,748
1609,shift,1608
1610,shiftiest,2
1611,shiftless,17
1612,shifty,37
1613,shih,39
1614,shiitak,4
1615,shiit,4
1616,shiks,7
1617,shil,178
1618,shill,2
1619,shillelagh,11
1620,shim,73
1621,shimmery,4
